OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025BY,2026-08-16T17:24:16.358112,14.12628670,.0053369,99.0836,290.7548,227.0108,254.4588,0,U,29782,999,156,.57886368E-3,.104E-4,0
FENGYUN 1C DEB,1999-025CA,2026-08-16T19:21:46.465920,14.31154433,.00585056,98.9496,159.8624,298.1128,77.4952,0,U,29784,999,1890,.21660742E-3,.535E-5,0
FENGYUN 1C DEB,1999-025CC,2026-08-16T14:28:20.233344,14.09224628,.00770122,98.7244,243.1964,325.1367,156.6812,0,U,29786,999,636,.31756728E-4,.14E-6,0
FENGYUN 1C DEB,1999-025CE,2026-08-16T17:12:24.547392,14.27575244,.00419491,98.7701,306.0363,188.7295,334.0616,0,U,29788,999,878,.75232597E-3,.1824E-4,0
FENGYUN 1C DEB,1999-025CF,2026-08-16T18:27:48.118752,13.54879779,.02965609,99.4645,46.3560,14.9730,100.5689,0,U,29789,999,96332,.6921092E-3,.588E-5,0
FENGYUN 1C DEB,1999-025CG,2026-08-16T15:21:00.898272,14.32665641,.0076144,99.1520,241.3065,179.8500,180.2718,0,U,29790,999,2061,.13284683E-3,.324E-5,0
FENGYUN 1C DEB,1999-025CH,2026-08-16T19:52:52.007808,14.61337512,.00388728,99.0304,256.3827,32.0704,140.5262,0,U,29791,999,2451,.63584778E-3,.3119E-4,0
FENGYUN 1C DEB,1999-025CJ,2026-08-16T16:14:53.179296,14.16117724,.00494201,98.7375,279.6476,50.9230,309.6326,0,U,29792,999,434,.4860668E-3,.929E-5,0
FENGYUN 1C DEB,1999-025CK,2026-08-16T09:33:08.411328,14.01899718,.01400685,98.3729,31.7928,2.6060,26.8762,0,U,29793,999,99604,.53376506E-3,.846E-5,0
FENGYUN 1C DEB,1999-025CL,2026-08-16T20:20:23.214624,14.09598979,.01564249,98.2293,10.9639,51.0743,103.5988,0,U,29794,999,317,.26318584E-3,.478E-5,0
FENGYUN 1C DEB,1999-025CM,2026-08-16T07:50:00.782016,13.93012285,.0110966,98.9022,352.8882,320.8304,64.7080,0,U,29795,999,99498,.54118417E-4,.31E-6,0
FENGYUN 1C DEB,1999-025CN,2026-08-16T21:26:18.718080,14.12906317,.0050604,98.8403,282.8258,288.0450,248.5179,0,U,29796,999,548,.35494943E-3,.624E-5,0
