OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BV,2026-08-16T11:40:28.130880,14.44979777,.00285031,74.0463,138.9655,154.9418,18.1187,0,U,33828,999,91876,.18212584E-3,.612E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-16T16:24:58.160736,14.79508427,.00417377,74.0288,105.0123,164.8012,259.1700,0,U,33830,999,93121,.31760378E-3,.2375E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-16T22:07:55.110432,14.63502464,.00224224,74.0528,97.0786,69.8942,303.5650,0,U,33832,999,92038,.55875443E-3,.2877E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-16T17:22:28.443648,14.64214789,.00553956,74.0574,347.8192,336.6340,148.6796,0,U,33835,999,92402,.26639013E-3,.1402E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-16T17:12:59.542848,14.83735786,.00240308,73.9955,129.7937,272.3718,117.8933,0,U,33836,999,67747,.49709527E-3,.4099E-4,0
COSMOS 2251 DEB,1993-036CE,2026-08-16T16:16:46.374528,14.51150150,.00328748,74.0132,310.4957,111.9411,248.5249,0,U,33837,999,92377,.9881625E-4,.366E-5,0
COSMOS 2251 DEB,1993-036CF,2026-08-16T14:41:02.709024,14.48987596,.00261071,74.0359,47.2065,107.4488,320.1066,0,U,33838,999,92144,.16373804E-3,.596E-5,0
COSMOS 2251 DEB,1993-036CG,2026-08-16T22:01:37.393824,14.65008481,.00831608,74.0377,91.2520,141.3241,232.3738,0,U,33839,999,93199,.11651054E-3,.624E-5,0
COSMOS 2251 DEB,1993-036CJ,2026-08-16T07:22:21.775872,14.38144089,.00214932,74.0372,183.9482,211.3740,309.9024,0,U,33841,999,91658,.95739828E-4,.265E-5,0
COSMOS 2251 DEB,1993-036CK,2026-08-16T16:49:26.896800,14.43146213,.00467914,74.0331,121.0525,170.2577,189.9498,0,U,33842,999,91899,.12058386E-3,.383E-5,0
COSMOS 2251 DEB,1993-036CM,2026-08-16T16:11:06.057024,14.34233696,.00492874,74.0679,321.7317,283.5194,201.8400,0,U,33844,999,91265,.1700806E-3,.457E-5,0
COSMOS 2251 DEB,1993-036CR,2026-08-16T11:48:10.181664,14.45559548,.00447651,74.0277,257.8634,259.2413,171.9396,0,U,33848,999,91395,.31614905E-3,.1102E-4,0
COSMOS 2251 DEB,1993-036CV,2026-08-16T19:44:37.168224,14.24029912,.0114135,73.8030,10.9930,358.1354,152.1203,0,U,33892,999,90471,.20553134E-3,.478E-5,0
