OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1185,2020-006AV,2026-08-16T22:13:58.636704,15.53615967,.00030827,53.1550,201.6925,36.7620,323.3602,0,U,45087,999,36185,.67748635E-3,.43731E-3,0
STARLINK-1183,2020-006AW,2026-08-16T15:56:01.628736,15.40331040,.00023065,53.1545,214.7506,25.6625,334.4494,0,U,45088,999,36164,.68473225E-3,.27738E-3,0
STARLINK-1152,2020-006BE,2026-08-16T12:49:32.458944,15.56940529,.00053338,53.0292,161.6529,51.6023,308.5466,0,U,45096,999,36234,.37027277E-3,.26763E-3,0
STARLINK-1184,2020-006BG,2026-08-16T07:16:36.610464,15.16989197,.00021297,53.0497,240.5627,312.5097,47.5717,0,U,45098,999,36121,.50152065E-3,.9728E-4,0
STARLINK-1193,2020-006BJ,2026-08-16T20:21:48.367008,15.75422437,.00046117,53.0428,162.6003,127.8447,232.2990,0,U,45100,999,36235,.35373161E-3,.54402E-3,0
STARLINK-1202,2020-012F,2026-08-16T16:25:04.516320,15.40426031,.0002135,53.1543,11.5029,110.1316,249.9919,0,U,45183,999,35951,.78205335E-3,.31856E-3,0
STARLINK-1216,2020-012H,2026-08-16T19:58:21.612576,15.44037349,.00009868,53.1570,9.6731,46.6157,313.4932,0,U,45185,999,35949,.26877843E-3,.12059E-3,0
STARLINK-1225,2020-012K,2026-08-16T18:33:18.177984,15.40461826,.00024219,53.1539,11.2051,132.4590,227.6621,0,U,45187,999,35951,.79011014E-3,.32229E-3,0
STARLINK-1230,2020-012M,2026-08-16T15:49:29.856576,15.40522447,.0001564,53.1547,11.8620,116.1032,244.0134,0,U,45189,999,35672,.67312817E-3,.27434E-3,0
STARLINK-1234,2020-012N,2026-08-17T00:00:02.000160,15.96220129,.00094711,53.0271,245.3093,29.0268,195.3751,0,U,45190,999,605,.54814052E-3,.231025E-2,.32263605E-4
STARLINK-1269,2020-012V,2026-08-16T18:49:11.284896,15.40456199,.00003699,53.1554,11.1169,152.2627,207.8398,0,U,45197,999,35949,.77355271E-3,.31535E-3,0
STARLINK-1154,2020-012W,2026-08-16T17:00:00.667584,15.69339645,.00005121,53.0394,310.9770,318.0569,42.0408,0,U,45198,999,36026,.32834073E-3,.38775E-3,0
STARLINK-1199,2020-012Z,2026-08-16T14:59:20.917824,15.40663304,.0001702,53.1563,356.1303,136.6728,223.4412,0,U,45201,999,35971,.82757036E-3,.3401E-3,0
STARLINK-1209,2020-012AE,2026-08-16T08:31:05.564064,15.79228654,.00068613,53.0302,269.2495,17.4043,342.7211,0,U,45206,999,35992,.34421252E-3,.62888E-3,0
STARLINK-1231,2020-012AL,2026-08-16T18:30:09.209952,15.32029878,.00018409,53.0373,353.7497,269.4617,90.6172,0,U,45212,999,35968,.85652272E-3,.26586E-3,0
STARLINK-1271,2020-012AR,2026-08-16T16:14:36.867840,15.40969852,.000174,53.1556,355.8980,124.4271,235.6899,0,U,45217,999,35972,.73392794E-3,.30412E-3,0
STARLINK-1191,2020-012AW,2026-08-16T15:40:23.237472,15.45648018,.00030119,53.1522,326.8126,10.6437,349.4633,0,U,45222,999,36013,.7013002E-3,.3407E-3,0
STARLINK-1212,2020-012AX,2026-08-16T15:47:31.828128,15.77669175,.00065324,53.0373,283.7446,19.6892,340.4379,0,U,45223,999,36070,.41923916E-4,.6495E-4,0
STARLINK-1215,2020-012AZ,2026-08-16T16:08:58.362144,15.40852854,.00013379,53.1547,330.1422,100.7143,259.4013,0,U,45225,999,36004,.46244891E-3,.18909E-3,0
STARLINK-1221,2020-012BB,2026-08-16T17:06:50.483520,15.48681808,.0002942,53.0621,228.0103,85.6215,274.5129,0,U,45227,999,36144,.63293138E-3,.34145E-3,0
STARLINK-1222,2020-012BC,2026-08-16T15:55:10.430688,15.61773282,.00034134,53.0499,289.5086,24.5821,335.5354,0,U,45228,999,36051,.33948092E-3,.29505E-3,0
STARLINK-1226,2020-012BD,2026-08-16T12:28:54.303744,15.51529989,.00012841,53.1524,322.0381,39.3314,320.7789,0,U,45229,999,36008,.57701563E-3,.34415E-3,0
STARLINK-1227,2020-012BE,2026-08-16T15:44:02.095584,15.51605455,.00018623,53.1501,321.4447,34.1385,325.9745,0,U,45230,999,36022,.66619099E-3,.39942E-3,0
STARLINK-1246,2020-012BK,2026-08-16T18:45:44.882208,15.40777888,.00028907,53.1554,10.6575,77.5989,282.5339,0,U,45235,999,35955,.7604301E-3,.31329E-3,0
STARLINK-1270,2020-012BM,2026-08-16T10:16:49.841760,15.76348966,.00059697,53.0370,287.1205,6.9501,353.1600,0,U,45237,999,36063,.32243624E-3,.51611E-3,0
STARLINK-1279,2020-019A,2026-08-16T20:38:23.381376,16.00155309,.00066977,53.0276,19.8584,307.5784,52.4637,0,U,45360,999,35592,.48677592E-3,.255537E-2,.38509564E-4
